Name	ID	Genesizes	Zscore
Glycosaminoglycan_biosynthesis_-_keratan_sulfate	1	15	3.233951697
Hepatitis_C	2	132	2.134860477
Cytokine-cytokine_receptor_interaction	3	262	2.131673024
Glycosphingolipid_biosynthesis_-_lacto_and_neolacto_series	4	26	2.106199414
Jak-STAT_signaling_pathway	5	154	1.943819577
Glyoxylate_and_dicarboxylate_metabolism	6	15	1.937982401
Glycosphingolipid_biosynthesis_-_globo_series	7	14	1.841969387
Tight_junction	8	128	1.830678316
Thyroid_cancer	9	29	1.676500392
Apoptosis	10	86	1.327034421
